Id,Label,RiskScore,InDegree,OutDegree,Betweenness,DependentsCount,Downloads,StalenessDays,ClusteringCoeff,MaintainerRisk,Type
241,is-number,0.46750105154502797,1,0,0.0,6502,423136954,924,0.0,0.3333333333333333,dependency
242,bull,0.46728472042720093,1,7,0.0,7430,4662658,351,0.03571428571428571,1.0,dependency
243,@smithy/util-body-length-node,0.4671903450167802,18,0,0.0,14597,118268470,57,0.0,0.3333333333333333,dependency
244,hasha,0.46712175802357603,1,0,0.0,299855,34825146,83,0.0,1.0,dependency
245,cors,0.4670190924124714,1,2,0.0,935233,107338958,240,0.0,0.5,dependency
246,is-glob,0.4668784421768417,1,1,0.0,6270,393026499,897,0.0,0.3333333333333333,dependency
247,@types/sizzle,0.46643503330273184,1,0,0.0,120106,34079017,101,0.0,1.0,dependency
248,esm-env,0.4662029013394682,1,0,0.0,11465,6050640,330,0.0,1.0,dependency
249,yocto-queue,0.46603131062264747,1,0,0.0,1236763,337197582,24,0.0,1.0,dependency
250,msgpackr,0.4658268398891877,1,0,0.0,44698,24370297,141,0.0,1.0,dependency
251,@types/tmp,0.4656929451549816,1,0,0.0,153382,15814773,124,0.0,1.0,dependency
252,uuid,0.4654771956165098,6,0,0.0,1006437,746048809,87,0.16666666666666666,0.5,seed
253,d3,0.4651131747325523,1,30,0.0,86366,24063233,202,0.0,0.5,dependency
254,dayjs,0.46475235588871555,2,0,0.0,490144,122813086,35,0.0,1.0,dependency
255,mime-db,0.46459048358233845,1,0,0.0,2093532,507486605,205,0.0,0.3333333333333333,dependency
256,cliui,0.4642468066032942,1,3,0.0,4471191,537931115,263,0.3333333333333333,0.5,seed
257,@babel/generator,0.46395466589703915,1,5,0.0002692980937542078,3757856,365389242,43,0.1,0.25,dependency
258,aria-query,0.46379110605911117,1,0,0.0,2081790,225972402,440,0.0,0.2,dependency
259,typed-query-selector,0.4633465334558792,1,0,0.0,288,16570965,478,0.0,1.0,dependency
260,@sindresorhus/is,0.46333126803548075,1,0,0.0,1059702,116059662,34,0.0,1.0,dependency
261,js-yaml,0.46289422022280313,0,1,0.0,1075506,625049259,20,0.0,1.0,seed
262,cron-parser,0.4627586370754275,3,0,0.0,43190,30899405,81,0.0,1.0,dependency
263,fetch-blob,0.4627267063553778,1,0,0.0,59369,66663460,932,0.0,0.3333333333333333,dependency
264,@aws-sdk/util-user-agent-browser,0.4622411022535975,18,0,0.0,71285,170617138,15,0.0,0.5,dependency
265,@aws-sdk/middleware-host-header,0.46206082835089757,18,0,0.0,71278,167695481,15,0.0,0.5,dependency
266,@aws-sdk/middleware-logger,0.4620115933216683,18,0,0.0,69575,169415008,15,0.0,0.5,dependency
267,@kurkle/color,0.4619102811339997,1,0,0.0,12102,16923107,190,0.0,1.0,dependency
268,follow-redirects,0.46181592277078176,1,0,0.0,2023308,278051384,127,0.0,0.5,dependency
269,d3-geo,0.46174448090736264,1,0,0.0,71380,29954702,632,0.0,0.5,dependency
270,stack-trace,0.4606809229272873,1,0,0.0,643320,75666632,877,0.0,0.16666666666666666,dependency
271,listr2,0.46031168504815545,1,0,0.0,188948,114217468,46,0.0,1.0,dependency
272,@aws-sdk/middleware-recursion-detection,0.4602090813526364,18,0,0.0,53899,166786851,15,0.0,0.5,dependency
273,negotiator,0.4599198027386784,1,0,0.0,1792608,356465206,205,0.0,0.3333333333333333,dependency
274,@aws-sdk/util-endpoints,0.4592167579532106,18,0,0.0,49322,160150622,15,0.0,0.5,dependency
275,@babel/types,0.4590479154897933,6,2,0.00012567244375196363,4673471,447665707,43,0.10714285714285714,0.25,seed
276,forever-agent,0.4587284077021978,1,0,0.0,6085,81563930,1266,0.0,0.3333333333333333,dependency
277,async,0.45864826295737143,1,0,0.0,926631,305301394,394,0.0,0.2,dependency
278,@babel/helper-skip-transparent-expression-wrappers,0.45795515969567036,2,2,0.0002872513000044883,2346435,144300697,43,0.08333333333333333,0.25,dependency
279,acorn,0.4578993757350226,1,0,0.0,1121780,563030533,179,0.0,0.3333333333333333,seed
280,@dabh/diagnostics,0.4569700706633917,1,0,0.0,82800,55470445,65,0.0,1.0,dependency
281,tough-cookie,0.4569416753552199,1,0,0.0,1773813,263674975,112,0.0,0.5,dependency
282,google-auth-library,0.45572719189763977,2,0,0.0,165330,100898769,35,0.0,1.0,dependency
283,@types/luxon,0.4552379973515911,1,0,0.0,10060,31134131,124,0.0,1.0,dependency
284,@smithy/types,0.45513524913479414,18,0,0.0,19741,294256779,24,0.0,0.3333333333333333,dependency
285,glob-parent,0.45409520231237405,0,1,0.0,6788,653425988,897,0.0,0.2,seed
286,got,0.4535602963266201,1,12,0.0,1332017,114514987,13,0.0,1.0,dependency
287,d3-scale-chromatic,0.45263433078546933,1,0,0.0,54331,14765942,632,0.0,0.5,dependency
288,crypto-js,0.4525326908967179,1,0,0.0,163892,42769135,52,0.0,1.0,dependency
289,hasown,0.45154329165421614,1,0,0.0,257,358960500,634,0.0,0.5,dependency
290,compressible,0.45141071102522,1,0,0.0,3417401,105594259,205,0.0,0.3333333333333333,dependency
291,emoji-regex,0.45059477161963446,0,0,0.0,4193583,986466276,53,0.0,0.5,seed
292,tunnel-agent,0.45056082241837336,1,0,0.0,4021,110967923,1256,0.0,0.25,dependency
293,bluebird,0.4504602150493101,2,0,0.0,8603,146014823,307,0.5,1.0,dependency
294,@smithy/protocol-http,0.44954027331847474,18,0,0.0,18142,181031807,24,0.0,0.3333333333333333,dependency
295,iconv-lite,0.44950481437918466,1,1,0.0,2198928,595626184,106,0.0,0.3333333333333333,seed
296,compression,0.44947239527096183,1,7,0.0,3408251,107852327,140,0.0,0.3333333333333333,dependency
297,semver,0.4494156292780758,6,0,0.0,1325167,2068597158,58,0.0,0.16666666666666666,seed
298,on-headers,0.4484714997537258,2,0,0.0,3651378,128145301,141,0.0,0.3333333333333333,dependency
299,sharp,0.4481453330060632,1,3,0.0,178353,86530297,29,0.0,1.0,dependency
300,d3-delaunay,0.4477735060748451,1,0,0.0,24641,23884427,979,0.0,0.3333333333333333,dependency
301,ci-info,0.4474009631237369,1,0,0.0,3193954,366492812,61,0.0,0.5,dependency
302,@smithy/fetch-http-handler,0.4469653117770303,18,0,0.0,14661,161203133,24,0.0,0.3333333333333333,dependency
303,@babel/code-frame,0.44625898719986234,2,3,0.00019748526875308571,943567,305453121,43,0.05,0.25,dependency
304,@smithy/util-middleware,0.4460852549478467,18,0,0.0,14643,148236365,24,0.0,0.3333333333333333,dependency
305,@octokit/rest,0.4460828875020951,1,4,0.0,169859,43080547,34,0.0,1.0,dependency
306,@smithy/util-retry,0.4460152917920795,18,0,0.0,14603,147491505,24,0.0,0.3333333333333333,dependency
307,@smithy/url-parser,0.44601238614025446,18,0,0.0,14646,147182798,24,0.0,0.3333333333333333,dependency
308,@octokit/plugin-paginate-rest,0.44592247865291634,1,0,0.0,162625,64221734,35,0.0,1.0,dependency
309,@smithy/node-config-provider,0.4458096361469434,18,0,0.0,14602,144609853,24,0.0,0.3333333333333333,dependency
310,@smithy/node-http-handler,0.44573581298765036,18,0,0.0,14684,143091320,24,0.0,0.3333333333333333,dependency
311,inflection,0.4456630177804394,1,0,0.0,260868,16180058,331,0.0,0.5,dependency
312,dezalgo,0.4456371902889923,1,0,0.0,551330,55880667,593,0.0,0.16666666666666666,dependency
313,@smithy/middleware-stack,0.44526587020851177,18,0,0.0,14660,136907989,24,0.0,0.3333333333333333,dependency
314,@octokit/plugin-rest-endpoint-methods,0.4447026239923104,1,0,0.0,162409,57161220,35,0.0,1.0,dependency
