package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank,cascade_impact
event-target-shim,0.5602219579416292,1,0,0.0,0.0,637867,116505594,1266,1.0,0.05,0.0,0.0,0.8585845470982644,0.7008071200280515,0.996413956144988,1.0,dependency,252,1
regenerator-runtime,0.559409884811766,0,0,0.0,0.0,4404245,239655676,720,1.0,0.0,0.0,0.0,0.9827028406828431,0.7758229469279555,0.917786530253431,1.0,seed,34,0
yallist,0.5572684624307633,0,0,0.0,0.0,1187300,701615198,604,1.0,0.0,0.0,0.0,0.8984954217504728,0.8875443860471107,0.893322408255025,1.0,seed,181,0
lowercase-keys,0.5560252801884575,1,0,0.0,0.0,1311902,121107263,909,1.0,0.05,0.0,0.0,0.9049060238907779,0.7048360380479276,0.9502553699729347,1.0,dependency,165,1
har-validator,0.5534817747890152,1,0,0.0,0.0,684116,58484849,1265,1.0,0.05,0.0,0.0,0.8630809827566408,0.6291290939740302,0.9963038355797403,1.0,dependency,244,1
busboy,0.5530676787229616,1,0,0.0,0.0,428463,75035006,1265,1.0,0.05,0.0,0.0,0.8330230591031351,0.6550460569669998,0.9963038355797403,1.0,dependency,270,1
escalade,0.5517432101635585,1,0,0.0,0.0,2368706,341123642,462,1.0,0.05,0.0,0.0,0.942861453678173,0.8125414364797746,0.8560146057388189,1.0,dependency,95,0
abort-controller,0.5512794693453205,1,1,0.0,0.0,593406,123173568,876,1.0,0.05,0.012048192771084338,0.0,0.8539433680603297,0.7065955980590048,0.9451037672813927,1.0,dependency,257,2
jsesc,0.5506255934206592,1,0,0.0,0.0,4543338,402360179,359,1.0,0.05,0.0,0.0,0.9847001701914284,0.8297131152890349,0.8209213243630639,1.0,seed,26,1
picocolors,0.5496686109809394,1,0,0.0,0.0,2113229,402137996,414,1.0,0.05,0.0,0.0,0.9355302990670462,0.8296556673485252,0.8407500716969111,1.0,dependency,112,1
figures,0.5496277724232943,1,0,0.0,0.0,931471,207031001,640,1.0,0.05,0.0,0.0,0.882906910964491,0.7606032533258649,0.9013837799712934,1.0,dependency,224,1
import-local,0.5486809167786509,1,0,0.0,0.0,3448463,162218607,501,1.0,0.05,0.0,0.0,0.9669878890670698,0.7352337081752842,0.8672937852720776,1.0,dependency,66,1
js-tokens,0.546242760329582,1,0,0.0,0.0,1940799,391672243,377,1.0,0.05,0.0,0.0,0.9300626170064537,0.8269130347130492,0.8277259757881583,1.0,dependency,129,1
@colors/colors,0.5462222107602427,1,0,0.0,0.0,255801,141705353,879,1.0,0.05,0.0,0.0,0.7998894176241876,0.7211726147836346,0.9455800375973024,1.0,dependency,283,1
cli-cursor,0.544519347080948,1,0,0.0,0.0,756236,283558090,497,1.0,0.05,0.0,0.0,0.8695191921998532,0.7933182029850742,0.8661780378122762,1.0,dependency,234,1
is-core-module,0.5441370520817373,1,1,0.0,0.0,2348517,313697356,348,1.0,0.05,0.012048192771084338,0.0,0.9423116012363484,0.8038240311846446,0.816593347812648,1.0,dependency,97,0
is-installed-globally,0.5431117034048745,1,0,0.0,0.0,1091810,63533269,759,1.0,0.05,0.0,0.0,0.8931094777451994,0.6377403764933158,0.9251335899051147,1.0,dependency,192,1
append-field,0.542741086152525,1,0,0.0,0.0,281881,35552216,1271,1.0,0.05,0.0,0.0,0.8061258568596897,0.5773584876577514,0.9969632585039043,1.0,dependency,281,1
executable,0.5411687731673056,1,0,0.0,0.0,291583,30249813,1266,1.0,0.05,0.0,0.0,0.8082996105197313,0.5605602088633482,0.996413956144988,1.0,dependency,278,1
data-uri-to-buffer,0.5407199864123681,1,0,0.0,0.0,371709,142213721,661,1.0,0.05,0.0,0.0,0.8238954468322811,0.7215450689076315,0.9058796741918839,1.0,dependency,271,1
