package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank
request-progress,0.5382032833584386,1,0,0.0,0.0,238036,26223839,1258,1.0,0.05,0.0,0.0,0.7952657930970256,0.5457059456788522,0.9955305474042538,1.0,dependency,286
vary,0.5374917001709492,3,0,0.0,0.0,4406042,198172139,205,1.0,0.15,0.0,0.0,0.9827290450223967,0.7560548074408059,0.7430665746231447,1.0,seed,33
formdata-polyfill,0.5372477363962943,1,0,0.0,0.0,54660,58352801,1266,1.0,0.05,0.0,0.0,0.7007554497163091,0.6288940019566576,0.996413956144988,1.0,dependency,373
isexe,0.5331975415458111,1,0,0.0,0.0,5752,454550953,855,1.0,0.05,0.0,0.0,0.5561303893195153,0.8423979412680558,0.9417235424352697,1.0,dependency,482
xmlbuilder,0.5330969300904487,3,0,0.0,0.3333333333333333,1052988,159247796,876,1.0,0.15,0.0,0.0,0.8907837770109385,0.733311322664096,0.9451037672813927,0.6666666666666667,dependency,211
safe-buffer,0.5326067429394011,3,0,0.0,0.0,1261649,732936435,878,0.5,0.15,0.0,0.0,0.9023970313313072,0.8920867343812877,0.9454214614703376,1.0,seed,172
debug,0.531507689212445,10,1,0.0001077192375016831,0.03636363636363636,1419208,1842160492,82,0.5,0.5,0.012048192771084338,0.10909090909090909,0.9099563963934711,0.9879424083218521,0.6162854860395595,0.9636363636363636,seed,161
@cypress/xvfb,0.5313854943924983,1,0,0.0,0.0,92179,23796360,1271,1.0,0.05,0.0,0.0,0.7343252411508117,0.5356031857663618,0.9969632585039043,1.0,dependency,334
is-typedarray,0.5308768987609485,1,0,0.0,0.0,5513,130690405,1265,1.0,0.05,0.0,0.0,0.5534047395648803,0.7127565768851234,0.9963038355797403,1.0,dependency,485
is-extglob,0.5308699360706287,1,0,0.0,0.0,5930,313635672,897,1.0,0.05,0.0,0.0,0.5580877792315244,0.8038035778998159,0.9484040017874735,1.0,dependency,480
get-port,0.5308387583824825,1,0,0.0,0.0,439877,57583144,625,1.0,0.05,0.0,0.0,0.834711894663321,0.6275130639559412,0.8980813126027815,1.0,dependency,269
ospath,0.5298485711500613,1,0,0.0,0.0,70827,24671917,1261,1.0,0.05,0.0,0.0,0.7173995103881421,0.53936123757977,0.9958624817663504,1.0,dependency,358
