source,target
is-weakref,call-bound
unbox-primitive,call-bound
unbox-primitive,has-bigints
unbox-primitive,has-symbols
unbox-primitive,which-boxed-primitive
fast-xml-parser,strnum
jest-haste-map,@jest/types
jest-haste-map,@types/node
jest-haste-map,anymatch
jest-haste-map,fb-watchman
jest-haste-map,graceful-fs
jest-haste-map,jest-regex-util
jest-haste-map,jest-util
jest-haste-map,jest-worker
jest-haste-map,micromatch
jest-haste-map,walker
internal-slot,es-errors
internal-slot,hasown
internal-slot,side-channel
bl,@types/readable-stream
bl,buffer
bl,inherits
bl,readable-stream
@typescript-eslint/utils,@typescript-eslint/types
@typescript-eslint/utils,@eslint-community/eslint-utils
@typescript-eslint/utils,@typescript-eslint/scope-manager
@typescript-eslint/utils,@typescript-eslint/typescript-estree
has-proto,dunder-proto
@babel/plugin-syntax-jsx,@babel/helper-plugin-utils
string.prototype.trimstart,call-bind
string.prototype.trimstart,define-properties
string.prototype.trimstart,es-object-atoms
is-bigint,has-bigints
is-descriptor,gopd
is-descriptor,hasown
is-descriptor,is-accessor-descriptor
is-descriptor,is-data-descriptor
dir-glob,path-type
function.prototype.name,call-bind
function.prototype.name,call-bound
function.prototype.name,define-properties
function.prototype.name,functions-have-names
function.prototype.name,hasown
function.prototype.name,is-callable
terser,@jridgewell/source-map
terser,acorn
terser,commander
terser,source-map-support
expect,@jest/expect-utils
expect,@jest/get-type
expect,jest-matcher-utils
expect,jest-message-util
expect,jest-mock
expect,jest-util
string.prototype.trim,call-bind
string.prototype.trim,call-bound
string.prototype.trim,define-data-property
string.prototype.trim,define-properties
string.prototype.trim,es-abstract
string.prototype.trim,es-object-atoms
string.prototype.trim,has-property-descriptors
@smithy/property-provider,@smithy/types
@smithy/property-provider,tslib
@smithy/protocol-http,@smithy/types
@smithy/protocol-http,tslib
is-array-buffer,call-bind
is-array-buffer,call-bound
is-array-buffer,get-intrinsic
typed-array-buffer,call-bound
typed-array-buffer,es-errors
typed-array-buffer,is-typed-array
tar-stream,b4a
tar-stream,streamx
tar-stream,fast-fifo
array-buffer-byte-length,call-bound
array-buffer-byte-length,is-array-buffer
proxy-addr,forwarded
proxy-addr,ipaddr.js
@types/babel__generator,@babel/types
is-number-object,call-bound
is-number-object,has-tostringtag
globalthis,define-properties
globalthis,gopd
get-symbol-description,call-bound
get-symbol-description,es-errors
get-symbol-description,get-intrinsic
@types/babel__traverse,@babel/types
loose-envify,js-tokens
istanbul-lib-report,istanbul-lib-coverage
istanbul-lib-report,make-dir
istanbul-lib-report,supports-color
@types/istanbul-reports,@types/istanbul-lib-report
minizlib,minipass
fs-minipass,minipass
set-function-name,define-data-property
set-function-name,es-errors
set-function-name,functions-have-names
set-function-name,has-property-descriptors
read-pkg,@types/normalize-package-data
read-pkg,normalize-package-data
read-pkg,parse-json
read-pkg,type-fest
read-pkg,unicorn-magic
istanbul-reports,html-escaper
istanbul-reports,istanbul-lib-report
@jest/test-result,@jest/console
@jest/test-result,@jest/types
@jest/test-result,@types/istanbul-lib-coverage
@jest/test-result,collect-v8-coverage
@types/express-serve-static-core,@types/qs
@types/express-serve-static-core,@types/node
@types/express-serve-static-core,@types/send
@types/express-serve-static-core,@types/range-parser
safe-array-concat,call-bind
safe-array-concat,call-bound
safe-array-concat,get-intrinsic
safe-array-concat,has-symbols
safe-array-concat,isarray
@aws-sdk/middleware-user-agent,@aws-sdk/core
@aws-sdk/middleware-user-agent,@aws-sdk/types
@aws-sdk/middleware-user-agent,@aws-sdk/util-endpoints
@aws-sdk/middleware-user-agent,@smithy/core
@aws-sdk/middleware-user-agent,@smithy/protocol-http
@aws-sdk/middleware-user-agent,@smithy/types
@aws-sdk/middleware-user-agent,tslib
vite,esbuild
vite,fdir
vite,picomatch
vite,postcss
vite,rollup
vite,tinyglobby
@types/babel__template,@babel/types
@types/babel__template,@babel/parser
escodegen,estraverse
escodegen,esutils
escodegen,esprima
escodegen,source-map
typed-array-byte-length,call-bind
typed-array-byte-length,for-each
typed-array-byte-length,gopd
typed-array-byte-length,has-proto
typed-array-byte-length,is-typed-array
jwa,safe-buffer
jwa,ecdsa-sig-formatter
jwa,buffer-equal-constant-time
@types/babel__core,@babel/types
@types/babel__core,@babel/parser
@types/babel__core,@types/babel__template
@types/babel__core,@types/babel__traverse
@types/babel__core,@types/babel__generator
ora,chalk
ora,cli-cursor
ora,strip-ansi
ora,log-symbols
ora,cli-spinners
ora,string-width
ora,is-interactive
ora,stdin-discarder
ora,is-unicode-supported
nopt,abbrev
@jest/transform,@babel/core
@jest/transform,@jest/types
@jest/transform,@jridgewell/trace-mapping
@jest/transform,babel-plugin-istanbul
@jest/transform,chalk
@jest/transform,convert-source-map
@jest/transform,fast-json-stable-stringify
@jest/transform,graceful-fs
@jest/transform,jest-haste-map
@jest/transform,jest-regex-util
@jest/transform,jest-util
@jest/transform,micromatch
@jest/transform,pirates
@jest/transform,slash
@jest/transform,write-file-atomic
object.values,call-bind
object.values,call-bound
object.values,define-properties
object.values,es-object-atoms
@jest/environment,@jest/fake-timers
@jest/environment,@jest/types
@jest/environment,@types/node
@jest/environment,jest-mock
css-select,boolbase
css-select,css-what
css-select,domhandler
css-select,domutils
css-select,nth-check
@aws-sdk/middleware-host-header,@aws-sdk/types
@aws-sdk/middleware-host-header,@smithy/protocol-http
@aws-sdk/middleware-host-header,@smithy/types
@aws-sdk/middleware-host-header,tslib
@aws-sdk/util-user-agent-browser,@aws-sdk/types
@aws-sdk/util-user-agent-browser,@smithy/types
@aws-sdk/util-user-agent-browser,bowser
@aws-sdk/util-user-agent-browser,tslib
@typescript-eslint/parser,debug
@typescript-eslint/parser,@typescript-eslint/types
@typescript-eslint/parser,@typescript-eslint/visitor-keys
@typescript-eslint/parser,@typescript-eslint/scope-manager
@typescript-eslint/parser,@typescript-eslint/typescript-estree
@jest/console,@jest/types
@jest/console,@types/node
@jest/console,chalk
@jest/console,jest-message-util
@jest/console,jest-util
@jest/console,slash
@ampproject/remapping,@jridgewell/gen-mapping
@ampproject/remapping,@jridgewell/trace-mapping
@aws-sdk/credential-provider-process,@aws-sdk/core
@aws-sdk/credential-provider-process,@aws-sdk/types
