Source,Target,Type
1750,139,Directed
327,301,Directed
1025,540,Directed
1025,460,Directed
797,472,Directed
288,437,Directed
472,155,Directed
906,589,Directed
906,411,Directed
906,1035,Directed
906,626,Directed
906,969,Directed
906,567,Directed
906,515,Directed
906,61,Directed
906,63,Directed
906,357,Directed
1246,10,Directed
147,2026,Directed
147,26,Directed
147,245,Directed
147,54,Directed
147,636,Directed
147,74,Directed
6,5,Directed
9,49,Directed
9,150,Directed
9,28,Directed
9,59,Directed
9,54,Directed
9,92,Directed
9,135,Directed
29,129,Directed
29,43,Directed
29,581,Directed
241,2130,Directed
241,2026,Directed
241,54,Directed
241,74,Directed
218,26,Directed
218,32,Directed
218,67,Directed
1028,1079,Directed
107,55,Directed
107,26,Directed
107,931,Directed
107,54,Directed
107,92,Directed
107,77,Directed
107,74,Directed
107,135,Directed
107,327,Directed
137,467,Directed
1171,43,Directed
551,836,Directed
551,921,Directed
59,759,Directed
59,21,Directed
75,513,Directed
759,150,Directed
208,2026,Directed
208,54,Directed
208,241,Directed
208,74,Directed
743,288,Directed
743,437,Directed
279,105,Directed
279,156,Directed
279,26,Directed
279,54,Directed
279,2100,Directed
279,439,Directed
279,132,Directed
279,67,Directed
279,147,Directed
279,219,Directed
326,903,Directed
676,531,Directed
676,374,Directed
1224,29,Directed
132,4,Directed
132,2026,Directed
132,2064,Directed
132,148,Directed
132,26,Directed
132,9,Directed
132,54,Directed
132,282,Directed
132,377,Directed
132,29,Directed
132,92,Directed
132,7,Directed
132,326,Directed
132,80,Directed
132,236,Directed
132,69,Directed
132,8,Directed
132,67,Directed
132,147,Directed
132,77,Directed
132,37,Directed
132,74,Directed
132,135,Directed
132,428,Directed
1449,1342,Directed
1449,1420,Directed
15,4,Directed
15,57,Directed
15,405,Directed
15,532,Directed
15,27,Directed
15,1125,Directed
15,2026,Directed
15,2055,Directed
15,49,Directed
15,26,Directed
15,21,Directed
15,54,Directed
15,284,Directed
15,92,Directed
15,241,Directed
15,208,Directed
15,107,Directed
15,67,Directed
15,74,Directed
15,63,Directed
15,1133,Directed
69,54,Directed
69,92,Directed
69,45,Directed
69,981,Directed
69,67,Directed
69,147,Directed
69,135,Directed
69,2060,Directed
80,193,Directed
80,121,Directed
80,26,Directed
80,32,Directed
80,218,Directed
80,67,Directed
80,147,Directed
598,196,Directed
598,67,Directed
598,159,Directed
1420,1342,Directed
51,193,Directed
51,121,Directed
51,591,Directed
51,267,Directed
51,156,Directed
51,49,Directed
51,26,Directed
51,32,Directed
51,54,Directed
51,911,Directed
51,787,Directed
51,29,Directed
51,92,Directed
51,45,Directed
51,107,Directed
51,218,Directed
51,236,Directed
51,69,Directed
51,15,Directed
51,67,Directed
51,135,Directed
51,519,Directed
682,236,Directed
682,15,Directed
1151,384,Directed
284,1125,Directed
284,2026,Directed
284,208,Directed
284,107,Directed
284,218,Directed
284,67,Directed
1325,1254,Directed
1222,32,Directed
1222,92,Directed
315,922,Directed
181,231,Directed
181,1970,Directed
181,393,Directed
181,855,Directed
181,552,Directed
181,271,Directed
181,298,Directed
181,227,Directed
181,453,Directed
181,43,Directed
181,558,Directed
181,367,Directed
181,355,Directed
181,541,Directed
181,173,Directed
181,63,Directed
181,225,Directed
181,1677,Directed
808,129,Directed
789,129,Directed
714,193,Directed
714,2099,Directed
714,1592,Directed
714,32,Directed
714,165,Directed
1271,497,Directed
8,243,Directed
8,193,Directed
8,156,Directed
8,49,Directed
8,26,Directed
8,32,Directed
8,54,Directed
8,920,Directed
8,2100,Directed
8,92,Directed
8,326,Directed
8,80,Directed
8,45,Directed
8,691,Directed
8,107,Directed
8,69,Directed
8,51,Directed
8,67,Directed
8,81,Directed
8,102,Directed
8,159,Directed
8,131,Directed
61,29,Directed
61,2094,Directed
239,193,Directed
239,934,Directed
239,267,Directed
239,156,Directed
239,26,Directed
239,32,Directed
239,54,Directed
239,812,Directed
239,773,Directed
239,395,Directed
239,208,Directed
239,107,Directed
239,51,Directed
239,15,Directed
239,67,Directed
239,159,Directed
239,74,Directed
950,533,Directed
691,2026,Directed
691,74,Directed
781,451,Directed
381,781,Directed
453,231,Directed
453,457,Directed
453,262,Directed
453,355,Directed
395,2026,Directed
395,26,Directed
395,54,Directed
395,67,Directed
395,74,Directed
81,156,Directed
81,26,Directed
81,32,Directed
81,195,Directed
81,54,Directed
81,920,Directed
81,67,Directed
81,207,Directed
1422,1036,Directed
1057,696,Directed
1340,139,Directed
87,1262,Directed
87,490,Directed
87,308,Directed
1029,394,Directed
715,592,Directed
715,92,Directed
1368,1339,Directed
272,212,Directed
272,16,Directed
272,434,Directed
272,720,Directed
272,343,Directed
272,149,Directed
272,189,Directed
272,43,Directed
272,428,Directed
1193,10,Directed
445,16,Directed
445,269,Directed
445,336,Directed
445,347,Directed
445,222,Directed
763,27,Directed
150,27,Directed
150,176,Directed
150,641,Directed
150,763,Directed
150,747,Directed
747,27,Directed
641,27,Directed
641,176,Directed
1243,1536,Directed
1243,1599,Directed
1243,1612,Directed
1243,1610,Directed
1243,1579,Directed
1243,1569,Directed
222,16,Directed
222,63,Directed
222,43,Directed
222,2061,Directed
222,1832,Directed
222,269,Directed
222,336,Directed
222,2089,Directed
222,2075,Directed
985,168,Directed
308,638,Directed
1380,1340,Directed
1380,1526,Directed
1380,371,Directed
1646,169,Directed
712,301,Directed
712,2182,Directed
100,6,Directed
100,348,Directed
100,486,Directed
100,288,Directed
100,190,Directed
100,406,Directed
100,16,Directed
100,444,Directed
100,403,Directed
100,1652,Directed
100,345,Directed
100,118,Directed
100,378,Directed
100,286,Directed
100,349,Directed
100,137,Directed
100,493,Directed
100,255,Directed
100,331,Directed
100,249,Directed
100,278,Directed
100,537,Directed
100,283,Directed
100,550,Directed
100,380,Directed
100,602,Directed
100,607,Directed
100,577,Directed
77,178,Directed
77,244,Directed
367,20,Directed
367,71,Directed
367,1,Directed
367,1532,Directed
693,4,Directed
693,392,Directed
693,245,Directed
693,23,Directed
693,1640,Directed
915,712,Directed
915,529,Directed
535,4,Directed
535,1246,Directed
535,31,Directed
535,387,Directed
535,410,Directed
535,693,Directed
535,820,Directed
535,995,Directed
118,537,Directed
118,822,Directed
118,137,Directed
306,343,Directed
306,1145,Directed
306,1832,Directed
306,478,Directed
306,303,Directed
306,1046,Directed
306,610,Directed
