package,in_degree,out_degree,betweenness,is_topN,dependents_count,downloads,rank
@istanbuljs/load-nyc-config,1,5,0.000266,True,1817306,133339672,1376
@istanbuljs/schema,3,0,0.000000,True,2069262,160975237,1150
@jest/console,4,6,0.000000,True,2661388,166883427,599
@jest/core,2,28,0.000000,True,2595866,130688603,749
@jest/diff-sequences,1,0,0.000000,False,0,40494536,0
@jest/environment,8,4,0.000000,True,2600984,170343345,745
@jest/environment-jsdom-abstract,1,7,0.000000,False,0,9551801,0
@jest/expect,3,2,0.000017,False,128522,113870037,0
@jest/expect-utils,2,1,0.000000,False,403713,140868502,0
@jest/fake-timers,4,6,0.000100,True,2662823,156633837,598
@jest/get-type,9,0,0.000000,False,0,44193973,0
@jest/globals,1,4,0.000000,True,1588225,134458155,1743
@jest/pattern,3,2,0.000011,False,0,38177217,0
@jest/reporters,1,23,0.000000,True,2596799,142244219,747
@jest/schemas,2,1,0.000033,False,674904,278684045,0
@jest/snapshot-utils,1,4,0.000033,False,0,26417408,0
@jest/source-map,2,3,0.000033,True,2660717,150852785,702
@jest/test-result,9,4,0.000020,True,2661321,173477439,700
@jest/test-sequencer,1,4,0.000118,True,2592542,134051391,751
@jest/transform,6,15,0.000211,True,2626228,170572915,713
@jest/types,26,7,0.000211,True,2802343,398192879,583
@jridgewell/gen-mapping,4,2,0.000011,False,1278783,317207095,0
@jridgewell/remapping,1,2,0.000044,False,0,81136095,0
@jridgewell/resolve-uri,1,0,0.000000,True,1611961,273210552,1732
@jridgewell/source-map,1,2,0.000000,False,823706,131443821,0
@jridgewell/sourcemap-codec,3,0,0.000000,True,1575125,326863573,1751
@jridgewell/trace-mapping,12,2,0.000055,True,1577545,450043708,1747
@jsonjoy.com/base64,1,0,0.000000,False,0,25641791,0
@jsonjoy.com/buffers,2,0,0.000000,False,0,13188457,0
@jsonjoy.com/codegen,2,0,0.000000,False,0,12108925,0
@jsonjoy.com/json-pack,1,8,0.000000,False,0,28481400,0
@jsonjoy.com/json-pointer,1,1,0.000000,False,0,12264887,0
@jsonjoy.com/util,3,2,0.000000,False,0,27816992,0
@keyv/bigmap,1,2,0.000000,False,0,4884611,0
@keyv/serialize,1,0,0.000000,False,0,17703715,0
@leichtgewicht/ip-codec,1,0,0.000000,False,761913,43821742,0
@mrmlnc/readdir-enhanced,0,2,0.000000,True,1370853,11728852,1979
@nicolo-ribaudo/eslint-scope-5-internals,1,1,0.000000,False,576758,30142320,0
@nodelib/fs.scandir,1,2,0.000000,True,2383299,247116992,915
@nodelib/fs.stat,2,0,0.000000,True,3630379,260724310,338
@nodelib/fs.walk,1,2,0.000000,True,2383015,241348510,916
@pkgr/core,1,0,0.000000,False,0,87653770,0
@pmmmwh/react-refresh-webpack-plugin,1,6,0.000000,False,1251012,31774727,0
@rollup/plugin-babel,1,2,0.000000,False,796184,25631518,0
@rollup/plugin-node-resolve,1,5,0.000000,False,1311748,44295582,0
@rollup/plugin-replace,1,2,0.000000,False,1224212,29897164,0
@rollup/plugin-terser,1,3,0.000000,False,16582,12458185,0
@rollup/pluginutils,3,3,0.000000,True,1363194,115906360,1982
@rtsao/scc,1,0,0.000000,False,3,88881533,0
@rushstack/eslint-patch,1,0,0.000000,False,926261,51408117,0
@sec-ant/readable-stream,1,0,0.000000,False,2,22786156,0
@sinclair/typebox,1,0,0.000000,False,707802,234760430,0
@sindresorhus/merge-streams,2,0,0.000000,False,858,53331294,0
@sinonjs/commons,1,1,0.000033,True,1806144,164342136,1379
@sinonjs/fake-timers,1,1,0.000067,True,1659283,196848432,1567
@surma/rollup-plugin-off-main-thread,1,4,0.000000,False,1150763,18940198,0
@svgr/babel-plugin-add-jsx-attribute,1,0,0.000000,True,1788266,47910787,1394
@svgr/babel-plugin-remove-jsx-attribute,1,0,0.000000,True,1788257,43617880,1396
@svgr/babel-plugin-remove-jsx-empty-expression,1,0,0.000000,True,1788252,44744548,1500
@svgr/babel-plugin-replace-jsx-attribute-value,1,0,0.000000,True,1788264,44835511,1395
@svgr/babel-plugin-svg-dynamic-title,1,0,0.000000,True,1788248,44464595,1502
@svgr/babel-plugin-svg-em-dimensions,1,0,0.000000,True,1788253,47943121,1398
@svgr/babel-plugin-transform-react-native-svg,1,0,0.000000,True,1788250,42422506,1501
@svgr/babel-plugin-transform-svg-component,1,0,0.000000,True,1788252,35228474,1399
@svgr/babel-preset,2,8,0.000000,True,1788256,47905725,1397
@svgr/core,1,5,0.000000,True,1842062,48083032,1364
@svgr/hast-util-to-babel-ast,1,2,0.000000,True,1788267,45715552,1393
@svgr/plugin-jsx,1,4,0.000000,True,1788363,48120520,1392
@svgr/plugin-svgo,1,3,0.000000,True,1786060,38109336,1504
@svgr/webpack,1,8,0.000000,True,1831506,29272113,1368
@testing-library/dom,0,8,0.000000,True,1412044,108999591,1953
@tokenizer/token,1,0,0.000000,False,69519,39035327,0
@tootallnate/once,0,0,0.000000,True,1584397,144184905,1745
