Id,Label,package,in_degree,out_degree,betweenness,risk_score,is_topN,dependents_count,downloads,rank,is_seed
114,@babel/plugin-proposal-unicode-property-regex,@babel/plugin-proposal-unicode-property-regex,1,2,0.000000,0.008442,False,0,0,0,False
115,@babel/plugin-syntax-async-generators,@babel/plugin-syntax-async-generators,1,1,0.000000,0.006033,True,4255829,146084985,1343,True
116,@babel/plugin-syntax-bigint,@babel/plugin-syntax-bigint,1,1,0.000000,0.006033,False,0,0,0,False
117,@babel/plugin-syntax-class-properties,@babel/plugin-syntax-class-properties,1,1,0.000000,0.006033,True,3086265,142463823,1373,True
118,@babel/plugin-syntax-class-static-block,@babel/plugin-syntax-class-static-block,1,1,0.000000,0.006033,True,1658694,117000362,1792,True
119,@babel/plugin-syntax-import-assertions,@babel/plugin-syntax-import-assertions,1,1,0.000000,0.006033,True,825173,113174260,1937,True
120,@babel/plugin-syntax-import-attributes,@babel/plugin-syntax-import-attributes,2,1,0.000000,0.009656,True,500414,143534821,1363,True
121,@babel/plugin-syntax-import-meta,@babel/plugin-syntax-import-meta,1,1,0.000000,0.006033,True,1681753,137564631,1511,True
122,@babel/plugin-syntax-json-strings,@babel/plugin-syntax-json-strings,1,1,0.000000,0.006033,True,4444129,138473130,1502,True
123,@babel/plugin-syntax-jsx,@babel/plugin-syntax-jsx,1,1,0.000000,0.006033,True,3452457,187128380,943,True
124,@babel/plugin-syntax-logical-assignment-operators,@babel/plugin-syntax-logical-assignment-operators,1,1,0.000000,0.006033,True,2661293,141521047,1380,True
125,@babel/plugin-syntax-nullish-coalescing-operator,@babel/plugin-syntax-nullish-coalescing-operator,1,1,0.000000,0.006033,True,3661245,144225141,1357,True
126,@babel/plugin-syntax-numeric-separator,@babel/plugin-syntax-numeric-separator,1,1,0.000000,0.006033,True,3420436,137307825,1514,True
127,@babel/plugin-syntax-object-rest-spread,@babel/plugin-syntax-object-rest-spread,1,1,0.000000,0.006033,True,4657287,147511195,1332,True
128,@babel/plugin-syntax-optional-catch-binding,@babel/plugin-syntax-optional-catch-binding,1,1,0.000000,0.006033,True,4539577,138862560,1500,True
129,@babel/plugin-syntax-optional-chaining,@babel/plugin-syntax-optional-chaining,1,1,0.000000,0.006033,True,3665838,138408929,1503,True
130,@babel/plugin-syntax-private-property-in-object,@babel/plugin-syntax-private-property-in-object,2,1,0.000000,0.009656,True,1674102,119090091,1770,True
131,@babel/plugin-syntax-top-level-await,@babel/plugin-syntax-top-level-await,1,1,0.000000,0.006033,True,3633475,144285204,1356,True
132,@babel/plugin-syntax-typescript,@babel/plugin-syntax-typescript,1,1,0.000000,0.006033,True,2805566,162115375,1147,True
133,@babel/plugin-syntax-unicode-sets-regex,@babel/plugin-syntax-unicode-sets-regex,1,2,0.000000,0.008442,False,0,0,0,False
134,@babel/plugin-transform-arrow-functions,@babel/plugin-transform-arrow-functions,1,1,0.000000,0.006033,True,4264832,126068544,1701,True
135,@babel/plugin-transform-async-generator-functions,@babel/plugin-transform-async-generator-functions,1,3,0.000000,0.010852,False,0,0,0,False
136,@babel/plugin-transform-async-to-generator,@babel/plugin-transform-async-to-generator,1,3,0.000000,0.010852,True,4233044,127223018,1591,True
137,@babel/plugin-transform-block-scoped-functions,@babel/plugin-transform-block-scoped-functions,1,1,0.000000,0.006033,True,4247496,118501303,1775,True
138,@babel/plugin-transform-block-scoping,@babel/plugin-transform-block-scoping,1,1,0.000000,0.006033,True,4264524,136795446,1518,True
139,@babel/plugin-transform-class-properties,@babel/plugin-transform-class-properties,1,2,0.000000,0.008442,False,0,0,0,False
140,@babel/plugin-transform-class-static-block,@babel/plugin-transform-class-static-block,1,2,0.000000,0.008442,False,0,0,0,False
141,@babel/plugin-transform-classes,@babel/plugin-transform-classes,1,6,0.000000,0.018081,True,4263709,136389029,1519,True
142,@babel/plugin-transform-computed-properties,@babel/plugin-transform-computed-properties,1,2,0.000000,0.008442,True,4263199,129971822,1565,True
143,@babel/plugin-transform-destructuring,@babel/plugin-transform-destructuring,3,2,0.000000,0.015689,True,4270320,136104064,1523,True
144,@babel/plugin-transform-dotall-regex,@babel/plugin-transform-dotall-regex,2,2,0.000000,0.012066,True,4125149,118455896,1777,True
145,@babel/plugin-transform-duplicate-keys,@babel/plugin-transform-duplicate-keys,1,1,0.000000,0.006033,True,4123341,113219976,1935,True
146,@babel/plugin-transform-duplicate-named-capturing-groups-regex,@babel/plugin-transform-duplicate-named-capturing-groups-regex,1,2,0.000000,0.008442,False,0,0,0,False
147,@babel/plugin-transform-dynamic-import,@babel/plugin-transform-dynamic-import,1,1,0.000000,0.006033,False,0,0,0,False
148,@babel/plugin-transform-explicit-resource-management,@babel/plugin-transform-explicit-resource-management,1,2,0.000000,0.008442,False,0,0,0,False
149,@babel/plugin-transform-exponentiation-operator,@babel/plugin-transform-exponentiation-operator,1,1,0.000000,0.006033,True,4251967,121962508,1742,True
150,@babel/plugin-transform-export-namespace-from,@babel/plugin-transform-export-namespace-from,1,1,0.000000,0.006033,False,0,0,0,False
151,@babel/plugin-transform-for-of,@babel/plugin-transform-for-of,1,2,0.000000,0.008442,True,4267128,126288719,1599,True
152,@babel/plugin-transform-function-name,@babel/plugin-transform-function-name,1,3,0.000000,0.010852,True,4262656,130468804,1563,True
153,@babel/plugin-transform-json-strings,@babel/plugin-transform-json-strings,1,1,0.000000,0.006033,False,0,0,0,False
154,@babel/plugin-transform-literals,@babel/plugin-transform-literals,1,1,0.000000,0.006033,True,4262997,128843895,1577,True
155,@babel/plugin-transform-logical-assignment-operators,@babel/plugin-transform-logical-assignment-operators,1,1,0.000000,0.006033,False,0,0,0,False
156,@babel/plugin-transform-member-expression-literals,@babel/plugin-transform-member-expression-literals,1,1,0.000000,0.006033,True,4006226,114903003,1916,True
157,@babel/plugin-transform-modules-amd,@babel/plugin-transform-modules-amd,1,2,0.000000,0.008442,True,4124003,115011042,1914,True
158,@babel/plugin-transform-modules-commonjs,@babel/plugin-transform-modules-commonjs,1,2,0.000000,0.008442,True,4291106,147520343,1331,True
159,@babel/plugin-transform-modules-systemjs,@babel/plugin-transform-modules-systemjs,1,4,0.000000,0.013262,True,4122363,122010755,1740,True
